JK,IPS1,IPS2,IPS3,IPS4,IPS5,IPS6,SKS1,SKS2,SKS3,SKS4,SKS5,SKS6,KETERANGAN
2,3.42,3.6,3.21,3.2,3.74,3.48,19,23,24,20,23,23,3
2,,,3.14,3,3.43,3.48,19,,22,20,23,23,3
1,3.58,3.43,3.41,3.83,3.42,3.5,19,23,22,23,24,22,2
2,2.79,2.83,3,3.32,3.35,3.25,19,18,19,22,23,24,2
2,3.11,3,2.91,3.15,3.46,3.17,19,21,22,20,24,24,2
2,3.42,3.48,3,3.32,3.35,3.21,19,21,22,22,23,24,2
2,2.95,3.17,2.77,2.5,3,2.76,19,17,22,20,21,21,2
2,3.11,3.48,2.91,3.3,3.25,3.26,19,21,22,20,24,23,3
2,3.11,3.19,3,2.87,3.41,3.3,19,21,22,23,22,23,3
2,3.26,3.32,3.04,3.26,3.04,3.28,19,21,22,23,24,18,3
2,3.42,3.83,3.29,3.43,3.46,3.33,19,23,24,23,24,24,2
2,2.79,3.11,,,,,19,18,,,,,
2,3.42,3.43,3.64,3.59,3.39,3.57,19,21,22,22,23,21,2
2,3.11,3,2.64,2.72,2.76,2.85,19,21,22,18,21,20,2
2,3.26,3.32,2.91,3,3,3.14,19,21,22,19,22,22,3
2,3.11,3,3,3.36,3.13,3.24,19,21,22,22,24,21,3
2,2.63,2.74,2.47,2.41,2.71,2.47,19,19,19,17,17,17,3
2,3.11,3.08,2.91,3.15,3.38,3.32,19,23,22,20,24,22,3
2,2.63,2.95,,,,,19,20,,,,,
2,2.95,2.8,,,,,19,20,,,,,
2,3.11,3.2,2.77,3,3,2.77,19,20,22,20,24,22,3
2,3.21,3.09,2.77,2.85,3.52,3.48,19,23,22,20,21,23,3
2,3.11,2.87,2.6,2.84,3.45,2.96,19,21,20,19,22,24,2
2,2.79,2.84,1.7,2.71,2.5,2.37,19,19,20,14,20,19,3
2,3.11,3.33,2.91,3.15,3.58,3.45,19,21,22,20,24,22,2
2,3.11,3.1,2.64,2.95,3.09,3.04,19,21,22,19,22,24,2
2,3.21,3,3.14,3,3.45,3.21,19,21,22,22,22,24,2
2,2.47,2.4,,,,,19,15,,,,,
2,3.11,3.23,3,3,3.43,3.23,19,21,22,22,21,22,2
2,3.26,3.1,2.95,3.15,3.38,3.32,19,21,22,20,24,22,3
2,2.95,3.1,2.64,2.82,2.77,2.73,19,20,22,17,22,22,3
2,3.42,3.17,3.05,3.15,3.45,3.14,19,23,20,20,22,22,3
2,2.79,2.94,,,,,19,18,,,,,
1,3.11,2.76,3,3,3.24,2.77,19,21,17,22,21,22,3
1,2.79,3.17,3.4,3,3,3.48,19,18,20,22,21,21,3
2,3.53,3.91,3.58,3.83,0,3.7,19,23,24,23,23,23,3
2,3.53,3.3,3.5,3.52,3.79,3.53,19,23,22,23,24,19,2
2,3.11,3.3,2.86,2.85,3.24,2.86,19,21,22,20,21,22,3
2,,3,,,,,,18,,,,,
2,3.11,2.9,2.73,2.68,2.9,2.43,19,21,19,22,21,21,3
2,3.11,2.95,2.77,3.16,3.42,3.13,19,21,22,19,24,23,2
2,3.11,3.23,2.91,3,3.33,2.87,19,21,22,19,24,23,2
2,3.11,2.83,3.05,3.05,3.33,3.04,19,18,19,22,21,24,2
2,3.37,3.38,3.23,3.55,3.38,3.67,19,21,22,22,24,21,2
1,2.73,3.22,2.77,3,2.23,3.16,19,18,22,19,22,19,3
1,3.42,3.22,3.27,3.14,3,3.33,19,23,22,22,22,21,3
1,2.79,3.17,2.91,2.63,2.89,2.72,19,18,22,19,18,18,3
2,3.11,2.76,,,,,19,21,,,,,
